Sort;Sanskrit;Sanskrit Other Form;Transliteration;Translation Other Form;English;Part of Speech;PoS Precise;Source;
193;अमर-;;;;"immortal; (<i>n.m.</i>) god";adj.;;CIS_Lesson_9;
194;अत-हृत-;;;;taken away (<i>from </i>√हृ);ta-ptc.;;CIS_Lesson_9_Readings;
195;अस्य;;;;of him, his (<i>gen. sing. masc.</i>);pron.;;CIS_Lesson_9_Readings;
196;आ-यात-;;;;having come (<i>from </i>आ-√या);ta-ptc.;;CIS_Lesson_9_Readings;
197;जानकी-;;;;daughter of Janaka (i.e. Sītā);n.f.;;CIS_Lesson_9_Readings;
198;बद्ध्वा-;;;;having bound (<i>from </i>√बन्ध्);abs.;;CIS_Lesson_9_Readings;
199;मया;;;;by me (<i>instr. sing.</i>);pron.;;CIS_Lesson_9_Readings;
200;महा-अर्णव-;;;;great sea, ocean;n.m.;;CIS_Lesson_9_Readings;
201;मोक्षयिषु-;;;;wanting to free;adj.;;CIS_Lesson_9_Readings;
202;सेतु-;;;;bridge, causeway;n.m.;;CIS_Lesson_9_Readings;
203;देष-;;;;fault;n.m.;;CIS_Lesson_9_Readings;
204;प्रकृति-;;;;"nature; (natural) standards";n.f.;;CIS_Lesson_9_Readings;
205;प्र-√शास्;प्रशास्ति;;;to rule;v.;II;CIS_Lesson_9_Readings;
206;मनुष्य-;;;;(regular) man, person;n.m.;;CIS_Lesson_9_Readings;
207;राज्य-;;;;kingdom;n.n.;;CIS_Lesson_9_Readings;
208;शक्य-;;;;possible;adj.;;CIS_Lesson_9_Readings;
209;क-;;;;who? What? Which?;pron.;;CIS_Lesson_9_Readings;
210;काल-;;;;"time; the right time";n.m.;;CIS_Lesson_9_Readings;
211;देश-;;;;place, region, country;n.m.;;CIS_Lesson_9_Readings;
212;मुहुःमुहुः;;;;again (and) again;indc.;;CIS_Lesson_9_Readings;
213;व्यय-आगमौ;;;;change, development (lit. going-(and-)coming);n.m. dual;;CIS_Lesson_9_Readings;
214;शक्ति-;;;;strenght, special talent;n.f.;;CIS_Lesson_9_Readings;
215;अति-;;;;across, over, beyond;;;CIS_Lesson_10;
216;अधि-;;;;above, over, on, on to;;;CIS_Lesson_10;
217;अनु-;;;;after, along, toward;;;CIS_Lesson_10;
218;अन्तर्-;;;;between, among, within;;;CIS_Lesson_10;
219;अप-;;;;away, off;;;CIS_Lesson_10;
220;अपि-;;;;onto, close to;;;CIS_Lesson_10;
221;अभि-;;;;to, against;;;CIS_Lesson_10;
222;अव-;;;;down, off;;;CIS_Lesson_10;
223;आ-;;;;to, hither;;;CIS_Lesson_10;
224;उद्-;;;;up, out;;;CIS_Lesson_10;
225;उप-;;;;to, towards;;;CIS_Lesson_10;
226;नि-;;;;down, into;;;CIS_Lesson_10;
227;परि-;;;;around;;;CIS_Lesson_10;
228;प्र-;;;;forward;;;CIS_Lesson_10;
229;प्रति-;;;;"towards; against; back";;;CIS_Lesson_10;
230;वि-;;;;apart, away, out;;;CIS_Lesson_10;
231;सम्-;;;;with, together, along;;;CIS_Lesson_10;
232;विस्मय-;;;;astonishment;n.m.;;CIS_Lesson_10;
233;विप्रिय-;;;;unpleasant;adj.;;CIS_Lesson_10;
234;वि-√स्मृ;;;;to forget;v.;I;CIS_Lesson_10;
235;√तॄ;;;;"to cross; to traverse";v.;I;CIS_Lesson_10;
236;अव-√तॄ;;;;to descend;v.;I;CIS_Lesson_10;
237;प्र-√सद्;;;;to be pleased;v.;I;CIS_Lesson_10;
238;प्रसन्न-;;;;pleased;v.;;CIS_Lesson_10;
239;अव-√गम्;;;;to understand;v.;I;CIS_Lesson_10;
240;अभि-√भू;;;;to overpower;v.;I;CIS_Lesson_10;
241;उप-√विश्;;;;to sit down;v.;VI;CIS_Lesson_10;
242;प्र-√विश्;;;;to enter;v.;VI;CIS_Lesson_10;
243;अभि-√द्रु;;;;to go against, attack;v.;I;CIS_Lesson_10;
244;आशित-;;;;relyong on, resorting to (+ <i>acc.</i>);adj.;;CIS_Lesson_10_Readings;
245;लङ्का-;;;;Śrī Laṅkā;n.f.;;CIS_Lesson_10_Readings;
246;शर-;;;;arrow;n.m.;;CIS_Lesson_10_Readings;
247;शित-;;;;sharp;adj.;;CIS_Lesson_10_Readings;
248;सुग्रीव-;;;;Sugrīva (king of the monkeys, on Rama's side);n.m.;;CIS_Lesson_10_Readings;
249;प्रति-√हृ;प्रतिहरति;;;to take back;v.;I;CIS_Lesson_10_Readings;
250;काष्ठ-;;;;log;n.n.;;CIS_Lesson_10_Readings;
251;कूर्म-;;;;turtle;n.m.;;CIS_Lesson_10_Readings;
252;दुर्बुद्धि-;;;;foolish;adj.;;CIS_Lesson_10_Readings;
253;अभि-√नन्द्;अभिनन्दति;;;to welcome;v.;I;CIS_Lesson_10_Readings;
254;वि-√नश्;विनश्यति;;;to die;v.;IV;CIS_Lesson_10_Readings;
255;√भ्रंश्;भ्रंशति;;;to fall;v.;I;CIS_Lesson_10_Readings;
256;वाक्य-;;;;word, advice;n.n.;;CIS_Lesson_10_Readings;
257;हित-काम-;;;;loyally loving (lit. one whose love is set);adj.;;CIS_Lesson_10_Readings;
258;अकृत-आत्मन्-;;;;of important self/character;adj.;;CIS_Lesson_10_Readings;
259;अनय-;;;;bad conduct, imprudence;n.m.;;CIS_Lesson_10_Readings;
260;च… च;;;;both… and;conj.;;CIS_Lesson_10_Readings;
261;रत-;;;;delighting in;adj.;;CIS_Lesson_10_Readings;
262;राजन्-;;;;king;n.m.;;CIS_Lesson_10_Readings;
263;आ-√विश्;आविशति;;;to enter;v.;VI;CIS_Lesson_10_Readings;
264;अप्-;;;;water;n.f.;;CIS_Lesson_10_Readings;
265;कौन्तेय-;;;;son of Kuntī (addressing Arjuna);n.m.;;CIS_Lesson_10_Readings;
266;ख-;;kha-;;sky, space;n.n.;;CIS_Lesson_10_Readings;
267;पौरुष-;;;;manliness, humanity;n.n.;;CIS_Lesson_10_Readings;
268;प्रणव-;;;;oṃ (the sacred sound);n.m.;;CIS_Lesson_10_Readings;
269;रस-;;;;"essence; fluidity";n.m.;;CIS_Lesson_10_Readings;
270;शब्द-;;;;sound, word;n.m.;;CIS_Lesson_10_Readings;
271;अ-चिरात्;;;;soon;indc.;;CIS_Lesson_11_Readings;
272;अर्थ-तत्त्व-;;;;reality, fact;n.n.;;CIS_Lesson_11_Readings;
273;क्रोध-;;;;anger;n.m.;;CIS_Lesson_11_Readings;
274;नकुल-;;;;mongoose;n.m.;;CIS_Lesson_11_Readings;
275;ब्राह्मण-;;brahmaṇa;;brahmin, wise man;n.m.;;CIS_Lesson_11_Readings;
276;वश-;;;;power, rule;n.n.;;CIS_Lesson_11_Readings;
277;अति-गृद्ध-;;;;very/excessively greedy;adj.;;CIS_Lesson_11_Readings;
278;इतर-इतरम्;;;;one another, each other;indc.;;CIS_Lesson_11_Readings;
279;जगत्-;;;;world;n.n.;;CIS_Lesson_11_Readings;
280;परायण-;;;;refuge, last resort;n.n.;;CIS_Lesson_11_Readings;
281;प्रतिष्ठा-;;;;resting-place;n.f.;;CIS_Lesson_11_Readings;
282;भूमिका-;;;;earth, ground;n.f.;;CIS_Lesson_11_Readings;
283;गति-;;;;path;n.f.;;CIS_Lesson_11_Readings;
284;नः;;;;for us (dat. pl.);pron.;;CIS_Lesson_11_Readings;
285;निष्-फलता-;;;;fruitlessness;n.f.;;CIS_Lesson_11_Readings;
286;परम-;;;;ultimate, highest;pron. adj.;;CIS_Lesson_11_Readings;
287;प्रमाण-;;;;the (right) standard, right;n.n.;;CIS_Lesson_11_Readings;
288;बहु-गुण-;;;;of great quality, great;adj.;;CIS_Lesson_11_Readings;
289;यदि;;;;if;indc.;;CIS_Lesson_11_Readings;
290;यशम्-;;;;fame;n.n.;;CIS_Lesson_11_Readings;
291;रण-;;;;battle;n.m.;;CIS_Lesson_11_Readings;
292;शास्त्र-;;;;scripture;n.n.;;CIS_Lesson_11_Readings;
293;√रुह्;रोहति;;;to go up, climb, ascend;v.;I;CIS_Lesson_12;
294;पद्म-;;padma-;;lotus;n.m./n.;;CIS_Lesson_12;
295;हंस-;;;;goose, swan;n.m.;;CIS_Lesson_12;
296;मध्य-;;;;"middle; waist";n.n.;;CIS_Lesson_12;
297;हेतोः;;;;for the sake of (+ <i>gen.</i>);indc.;;CIS_Lesson_12;
298;क्षणेन, क्षणात्;;;;immediately, instantly;;;CIS_Lesson_12;
299;क्षण-;;;;moment;n.m.;;CIS_Lesson_12;
300;भद्र-;;bhadra-;;"good; pleasing; happy";adj.;;CIS_Lesson_12;
301;यथा… तथा;;;;just as… so;;;CIS_Lesson_12;
302;अर्थे;;;;for the sake of;indc.;;CIS_Lesson_12_Readings;
303;एक-;;;;one, a single person;pron. adj.;;CIS_Lesson_12_Readings;
304;जन-पद-;;;;a people, nation;n.m.;;CIS_Lesson_12_Readings;
305;पृथिवी;;;;the earth;n.f.;;CIS_Lesson_12_Readings;
306;अग्रि-;;;;fire;n.m.;;CIS_Lesson_12_Readings;
307;द्यो;;;;the sky;n.m.;;CIS_Lesson_12_Readings;
308;प्र-√पत्;प्रपतति;;;"to fall; to fly";v.;I;CIS_Lesson_12_Readings;
309;रघु-नन्दन-;;;;the delighter of Raghu (Rāma's grandfather): a name for Rāma;n.m.;;CIS_Lesson_12_Readings;
310;शकल-;;;;fragmented;adj.;;CIS_Lesson_12_Readings;
311;शैत्य-;;;;cold(ness);n.n.;;CIS_Lesson_12_Readings;
312;स-नक्षत्र-;;;;together with (sa-) the stars;adj.;;CIS_Lesson_12_Readings;
313;आ-दर्श-;;;;mirror;n.m.;;CIS_Lesson_12_Readings;
314;उल्ब-;;;;womb;n.n.;;CIS_Lesson_12_Readings;
315;गर्भ-;;;;embryo;n.m.;;CIS_Lesson_12_Readings;
316;धूम-;;;;smoke;n.m.;;CIS_Lesson_12_Readings;
317;मति-;;;;mind, intellect;n.f.;;CIS_Lesson_12_Readings;
318;मल-;;;;dust;n.n.;;CIS_Lesson_12_Readings;
319;राग-;;;;passion, strong emotion;n.m.;;CIS_Lesson_12_Readings;
320;वह्नि-;;vahni-;;fire;n.m.;;CIS_Lesson_12_Readings;
321;आ-√वृ;आवृणोति;;;to cover, surround;v.;V;CIS_Lesson_12_Readings;
